priority_rank,dataset,evaluation_scope,unit,cycle,y_true_rul_raw,y_pred_rul,error,abs_error,maintenance_band,decision_recommendation,risk_flag
1,FD001,official_test,34,203,7.0,6.088517703046219,-0.911482296953781,0.911482296953781,urgent_replace,priorizar intervencion inmediata,within_20_cycles
2,FD001,official_test,76,205,10.0,7.586975373715431,-2.413024626284569,2.413024626284569,urgent_replace,priorizar intervencion inmediata,within_20_cycles
3,FD001,official_test,81,213,8.0,7.85675827639635,-0.1432417236036496,0.1432417236036496,urgent_replace,priorizar intervencion inmediata,within_20_cycles
4,FD001,official_test,82,162,9.0,8.861884654987705,-0.1381153450122951,0.1381153450122951,urgent_replace,priorizar intervencion inmediata,within_20_cycles
5,FD001,official_test,31,196,8.0,9.565298504817202,1.5652985048172017,1.5652985048172017,urgent_replace,priorizar intervencion inmediata,within_20_cycles
6,FD001,official_test,68,187,8.0,10.18915178930249,2.1891517893024908,2.1891517893024908,urgent_replace,priorizar intervencion inmediata,within_20_cycles
7,FD001,official_test,20,184,16.0,10.919202155799342,-5.080797844200658,5.080797844200658,urgent_replace,priorizar intervencion inmediata,within_20_cycles
8,FD001,official_test,49,303,21.0,12.626197335824596,-8.373802664175404,8.373802664175404,urgent_replace,priorizar intervencion inmediata,within_20_cycles
9,FD001,official_test,56,136,15.0,12.98998014048133,-2.0100198595186693,2.0100198595186693,urgent_replace,priorizar intervencion inmediata,within_20_cycles
10,FD001,official_test,42,156,10.0,13.253864922550076,3.2538649225500773,3.2538649225500773,urgent_replace,priorizar intervencion inmediata,within_20_cycles
11,FD001,official_test,35,198,11.0,16.909979649722022,5.909979649722022,5.909979649722022,urgent_replace,priorizar intervencion inmediata,within_20_cycles
12,FD001,official_test,66,147,14.0,18.185577604861923,4.185577604861923,4.185577604861923,urgent_replace,priorizar intervencion inmediata,within_20_cycles
13,FD001,official_test,92,150,20.0,19.840255501902757,-0.1597444980972469,0.1597444980972469,urgent_replace,priorizar intervencion inmediata,within_20_cycles
14,FD001,official_test,100,198,20.0,21.505374189377758,1.505374189377754,1.505374189377754,urgent_replace,priorizar intervencion inmediata,within_20_cycles
15,FD001,official_test,41,123,18.0,21.65608679277778,3.656086792777781,3.656086792777781,urgent_replace,priorizar intervencion inmediata,within_20_cycles
16,FD001,official_test,24,186,20.0,23.691900126646928,3.691900126646928,3.691900126646928,urgent_replace,priorizar intervencion inmediata,within_20_cycles
17,FD001,official_test,53,164,26.0,26.610640797351294,0.610640797351298,0.610640797351298,urgent_replace,priorizar intervencion inmediata,within_20_cycles
18,FD001,official_test,64,168,28.0,26.905441560415472,-1.094558439584528,1.094558439584528,urgent_replace,priorizar intervencion inmediata,within_20_cycles
19,FD001,official_test,61,159,21.0,27.26186682866033,6.261866828660335,6.261866828660335,urgent_replace,priorizar intervencion inmediata,within_20_cycles
20,FD001,official_test,90,146,28.0,27.783150032025475,-0.2168499679745252,0.2168499679745252,urgent_replace,priorizar intervencion inmediata,within_20_cycles
21,FD001,official_test,77,162,34.0,29.493714200431747,-4.5062857995682535,4.5062857995682535,urgent_replace,priorizar intervencion inmediata,within_20_cycles
22,FD001,official_test,36,126,19.0,29.902349182500338,10.902349182500338,10.902349182500338,urgent_replace,priorizar intervencion inmediata,within_20_cycles
23,FD001,official_test,18,133,28.0,32.547622628584364,4.547622628584364,4.547622628584364,schedule_soon,programar mantenimiento preventivo,within_20_cycles
24,FD001,official_test,91,234,38.0,32.69761082784564,-5.302389172154364,5.302389172154364,schedule_soon,programar mantenimiento preventivo,within_20_cycles
25,FD001,official_test,37,121,21.0,33.00838644597739,12.008386445977392,12.008386445977392,schedule_soon,programar mantenimiento preventivo,within_20_cycles
26,FD001,official_test,52,189,29.0,34.316875473156394,5.316875473156394,5.316875473156394,schedule_soon,programar mantenimiento preventivo,within_20_cycles
27,FD001,official_test,40,133,28.0,35.10126281599854,7.101262815998538,7.101262815998538,schedule_soon,programar mantenimiento preventivo,within_20_cycles
28,FD001,official_test,58,176,37.0,38.08166754833618,1.0816675483361775,1.0816675483361775,schedule_soon,programar mantenimiento preventivo,within_20_cycles
29,FD001,official_test,62,232,54.0,43.786039324163895,-10.213960675836104,10.213960675836104,schedule_soon,programar mantenimiento preventivo,within_20_cycles
30,FD001,official_test,84,172,58.0,44.99876184436351,-13.001238155636493,13.001238155636493,schedule_soon,programar mantenimiento preventivo,within_20_cycles
31,FD001,official_test,3,126,69.0,49.054774028774055,-19.945225971225945,19.945225971225945,schedule_soon,programar mantenimiento preventivo,within_20_cycles
32,FD001,official_test,46,146,47.0,52.14393361752142,5.143933617521419,5.143933617521419,schedule_soon,programar mantenimiento preventivo,within_20_cycles
33,FD001,official_test,43,172,59.0,52.92479928375575,-6.075200716244254,6.075200716244254,schedule_soon,programar mantenimiento preventivo,within_20_cycles
34,FD001,official_test,93,244,85.0,53.47490860633274,-31.52509139366726,31.52509139366726,schedule_soon,programar mantenimiento preventivo,conservative_underestimate
