dataset,base_variable,physical_symbol,physical_description,engine_area,importance_sum,importance_normalized,rank_in_dataset,n_derived_features
FD001,sensor_14,NRc,Corrected core speed.,core spool,1545.0,0.0848901098901099,1,7
FD001,sensor_4,T50,Total temperature at LPT outlet.,turbine/LPT,1473.0,0.08093406593406594,2,7
FD001,sensor_11,Ps30,Static pressure at HPC outlet.,HPC,1403.0,0.07708791208791209,3,7
FD001,sensor_9,Nc,Physical core speed.,core spool,1350.0,0.07417582417582418,4,7
FD001,sensor_3,T30,Total temperature at HPC outlet.,HPC,1269.0,0.06972527472527472,5,7
FD001,sensor_7,P30,Total pressure at HPC outlet.,HPC,1187.0,0.06521978021978021,6,7
FD001,sensor_12,phi,Ratio of fuel flow to Ps30.,fuel/HPC interaction,1130.0,0.06208791208791209,7,7
FD001,setting_1,setting_1,Operational setting associated with flight regime.,operating condition,1118.0,0.06142857142857143,8,7
FD001,sensor_2,T24,Total temperature at LPC outlet.,LPC,1106.0,0.06076923076923077,9,7
FD001,sensor_21,W32,LPT coolant bleed.,LPT cooling/bleed,1059.0,0.05818681318681319,10,7
FD001,sensor_20,W31,HPT coolant bleed.,HPT cooling/bleed,1011.0,0.05554945054945055,11,7
FD001,sensor_15,BPR,Bypass ratio.,bypass/fan,997.0,0.05478021978021978,12,7
FD001,sensor_8,Nf,Physical fan speed.,fan/spool,891.0,0.04895604395604396,13,7
FD001,sensor_13,NRf,Corrected fan speed.,fan/spool,889.0,0.048846153846153845,14,7
FD001,setting_2,setting_2,Operational setting associated with flight regime.,operating condition,703.0,0.038626373626373625,15,7
FD001,sensor_17,htBleed,Bleed enthalpy.,bleed system,662.0,0.03637362637362637,16,7
FD001,sensor_6,P15,Total pressure in bypass duct.,bypass,407.0,0.022362637362637362,17,7
FD002,sensor_11,Ps30,Static pressure at HPC outlet.,HPC,0.49477200868568616,0.4947720059821311,1,25
FD002,sensor_15,BPR,Bypass ratio.,bypass/fan,0.09951524613279616,0.09951524558902057,2,25
FD002,sensor_13,NRf,Corrected fan speed.,fan/spool,0.09734659370587906,0.0973465931739535,3,24
