engine_area,mean_importance_normalized,max_importance_normalized,top_sensors,rank
HPC,0.320882687886994,0.4947720059821311,Ps30 (sensor_11); T30 (sensor_3); P30 (sensor_7),1
fan/spool,0.1491462469345443,0.1617185550817456,NRf (sensor_13); Nf (sensor_8),2
core spool,0.1225523504170678,0.0920604395604395,NRc (sensor_14); Nc (sensor_9),3
turbine/LPT,0.0917086478860012,0.1327190780320336,T50 (sensor_4),4
bypass/fan,0.0574279238277503,0.0995152455890205,BPR (sensor_15),5
fuel/HPC interaction,0.0444453009346854,0.0889010989010989,phi (sensor_12),6
LPC,0.0441949046651751,0.0619780219780219,T24 (sensor_2),7
bleed system,0.0407020038094517,0.0562075677831494,htBleed (sensor_17),8
LPT cooling/bleed,0.0295447809170355,0.0581868131868131,W32 (sensor_21),9
HPT cooling/bleed,0.0244128701010038,0.0555494505494505,W31 (sensor_20),10
bypass,0.0189271853912731,0.0451648351648351,P15 (sensor_6),11
global engine pressure,0.0047136735841222,0.0082967032967032,epr (sensor_10),12
combustor,0.0031840835993485,0.0051695282706976,farB (sensor_16),13
inlet/fan,0.0020899605415419,0.0028136590400168,T2 (sensor_1); P2 (sensor_5),14
control system,0.0020269381460711,0.0032518953354103,Nf_dmd (sensor_18); PCNfR_dmd (sensor_19),15
