dataset,base_variable,physical_symbol,physical_description,engine_area,baseline_mae,perturbed_mae,delta_mae,baseline_rmse,perturbed_rmse,delta_rmse,baseline_r2,perturbed_r2,delta_r2,baseline_cmapss_score,perturbed_cmapss_score,delta_cmapss_score,baseline_dangerous_error_pct,perturbed_dangerous_error_pct,delta_dangerous_error_pct,mean_abs_prediction_shift,n_perturbed_features
FD001,sensor_11,Ps30,Static pressure at HPC outlet.,HPC,10.673098571038599,15.329007516837299,4.6559089457987,13.94871384763963,18.502746433137407,4.554032585497778,0.8873298725026293,0.8017501578758587,-0.08557971462677061,283.89783207257466,490.4025500415668,206.50471796899217,8.0,16.0,8.0,9.606748048731955,7
FD001,sensor_14,NRc,Corrected core speed.,core spool,10.673098571038599,13.06037719485675,2.387278623818151,13.94871384763963,17.02791811440037,3.079204266760742,0.8873298725026293,0.8320950259876458,-0.05523484651498345,283.89783207257466,454.19884126927275,170.3010091966981,8.0,6.0,-2.0,6.17374209958019,7
FD001,sensor_9,Nc,Physical core speed.,core spool,10.673098571038599,12.012683231348287,1.3395846603096881,13.94871384763963,15.594969212419821,1.6462553647801919,0.8873298725026293,0.8591653563556148,-0.02816451614701454,283.89783207257466,354.10063421527633,70.20280214270167,8.0,8.0,0.0,3.7976767040770145,7
FD001,sensor_4,T50,Total temperature at LPT outlet.,turbine/LPT,10.673098571038599,12.463810615089917,1.7907120440513182,13.94871384763963,15.662799248745692,1.714085401106063,0.8873298725026293,0.8579375765798942,-0.029392295922735068,283.89783207257466,343.7918700292391,59.89403795666442,8.0,6.0,-2.0,6.1496874179165,7
FD001,sensor_12,phi,Ratio of fuel flow to Ps30.,fuel/HPC interaction,10.673098571038599,12.616325128294932,1.9432265572563328,13.94871384763963,15.46849109779486,1.5197772501552311,0.8873298725026293,0.8614404834953613,-0.025889389007268004,283.89783207257466,342.2400620601599,58.342229987585256,8.0,10.0,2.0,4.367789173626159,7
FD001,sensor_7,P30,Total pressure at HPC outlet.,HPC,10.673098571038599,11.640402338974152,0.9673037679355527,13.94871384763963,14.606381924291803,0.6576680766521736,0.8873298725026293,0.8764548331163636,-0.010875039386265661,283.89783207257466,310.218807767305,26.32097569473035,8.0,7.000000000000001,-0.9999999999999991,3.3405068600813252,7
FD001,sensor_20,W31,HPT coolant bleed.,HPT cooling/bleed,10.673098571038599,11.40410261711394,0.7310040460753413,13.94871384763963,14.47491213577294,0.52619828813331,0.8873298725026293,0.8786688460215255,-0.008661026481103784,283.89783207257466,309.4093147313359,25.511482658761224,8.0,7.000000000000001,-0.9999999999999991,2.6141749390845392,7
FD001,sensor_17,htBleed,Bleed enthalpy.,bleed system,10.673098571038599,11.729202928927851,1.056104357889252,13.94871384763963,14.694807292578815,0.7460934449391861,0.8873298725026293,0.8749544485779195,-0.012375423924709805,283.89783207257466,305.9188838587906,22.021051786215935,8.0,6.0,-2.0,2.860207043495196,7
FD001,sensor_21,W32,LPT coolant bleed.,LPT cooling/bleed,10.673098571038599,11.12565045281773,0.4525518817791312,13.94871384763963,14.228110282057088,0.27939643441745865,0.8873298725026293,0.8827710429331904,-0.004558829569438871,283.89783207257466,298.774217533929,14.876385461354346,8.0,6.0,-2.0,1.8974247956242452,7
FD001,sensor_3,T30,Total temperature at HPC outlet.,HPC,10.673098571038599,11.020355576845573,0.3472570058069735,13.94871384763963,14.390632714567046,0.44191886692741633,0.8873298725026293,0.8800776214222734,-0.007252251080355876,283.89783207257466,294.5980561776865,10.700224105111829,8.0,6.0,-2.0,2.3337354736727507,7
FD001,sensor_15,BPR,Bypass ratio.,bypass/fan,10.673098571038599,11.317681094603058,0.6445825235644591,13.94871384763963,14.375995604206537,0.4272817565669076,0.8873298725026293,0.8803214500897082,-0.0070084224129211,283.89783207257466,291.8348354468639,7.937003374289247,8.0,6.0,-2.0,1.892886642940515,7
FD001,sensor_2,T24,Total temperature at LPC outlet.,LPC,10.673098571038599,11.111516445609317,0.43841787457071746,13.94871384763963,14.30778075781901,0.3590669101793811,0.8873298725026293,0.8814545173452495,-0.005875355157379802,283.89783207257466,290.2591850816601,6.361353009085462,8.0,7.000000000000001,-0.9999999999999991,2.701813158067611,7
FD002,sensor_11,Ps30,Static pressure at HPC outlet.,HPC,16.61884540940804,24.373923064198735,7.755077654790696,25.280092935385433,32.8959751639996,7.6158822286141685,0.7790290352968239,0.6258347854070936,-0.1531942498897303,5349.925447634689,15420.862994647356,10070.937547012667,5.019305019305019,18.53281853281853,13.513513513513512,12.95455551147461,25
FD002,sensor_15,BPR,Bypass ratio.,bypass/fan,16.61884540940804,20.57492718825469,3.9560817788466522,25.280092935385433,28.233734225353732,2.9536412899682993,0.7790290352968239,0.724377591278092,-0.0546514440187319,5349.925447634689,8163.5602830670405,2813.634835432352,5.019305019305019,8.494208494208493,3.474903474903474,8.792223930358887,25
FD002,sensor_4,T50,Total temperature at LPT outlet.,turbine/LPT,16.61884540940804,19.562350133210995,2.943504723802956,25.280092935385433,27.421675051759877,2.141582116374444,0.7790290352968239,0.7400044950183524,-0.039024540278471465,5349.925447634689,7530.873096483738,2180.947648849049,5.019305019305019,7.722007722007722,2.7027027027027026,6.481019020080566,25
FD002,sensor_8,Nf,Physical fan speed.,fan/spool,16.61884540940804,18.648077771470355,2.0292323620623165,25.280092935385433,27.38795905634101,2.1078661209555776,0.7790290352968239,0.7406434507472209,-0.03838558454960295,5349.925447634689,7427.392062413349,2077.46661477866,5.019305019305019,5.7915057915057915,0.7722007722007724,4.675154209136963,24
FD002,sensor_14,NRc,Corrected core speed.,core spool,16.61884540940804,18.107512479583267,1.4886670701752287,25.280092935385433,26.933874921926407,1.6537819865409737,0.7790290352968239,0.749172264512056,-0.029856770784767894,5349.925447634689,6774.150376140806,1424.224928506117,5.019305019305019,6.563706563706563,1.544401544401544,3.7491681575775146,26
FD002,sensor_3,T30,Total temperature at HPC outlet.,HPC,16.61884540940804,17.664233065940238,1.0453876565321991,25.280092935385433,26.195585731500135,0.9154927961147017,0.7790290352968239,0.7627347659211272,-0.01629426937569667,5349.925447634689,6459.084962329255,1109.1595146945665,5.019305019305019,5.405405405405405,0.3861003861003862,2.9563350677490234,24
