engine_area,mean_delta_cmapss_score,max_delta_cmapss_score,mean_abs_prediction_shift,top_dataset_sensor,rank
HPC,2294.007239153592,13830.236400225744,6.258455614987842,FD004 - Ps30 (sensor_11),1
turbine/LPT,1241.2023416317315,2528.6242531513963,6.95955363742681,FD004 - T50 (sensor_4),2
fan/spool,1100.0605738886868,2077.46661477866,3.690131664276123,FD002 - Nf (sensor_8),3
bypass/fan,862.2334172309768,2813.634835432352,3.687894207515269,FD002 - BPR (sensor_15),4
core spool,822.4727027041085,2785.5531905610237,4.479260528007325,FD004 - NRc (sensor_14),5
bleed system,361.6811071232115,798.4230837622508,2.5815643682398606,FD004 - htBleed (sensor_17),6
fuel/HPC interaction,173.93856291376525,302.4856908310069,3.3481988218440923,FD003 - phi (sensor_12),7
LPC,150.37723035650203,433.5588887875229,2.4143878763822384,FD002 - T24 (sensor_2),8
LPT cooling/bleed,4.584813576870857,14.876385461354346,1.7910117258172282,FD001 - W32 (sensor_21),9
HPT cooling/bleed,-21.144043744658195,25.511482658761224,1.4108261948026746,FD001 - W31 (sensor_20),10
