representation,model_name,rul_bin,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct
temporal_w30,MLP_tabular_cfg_03,90+,39,17.660882998735477,21.03928066544925,-0.9686335506685109,193.48260051177152,4.961092320814655,0.0
temporal_w30,MLP_tabular_cfg_03,60-90,20,15.369181442260743,19.739520454702753,0.0,184.6812510691663,9.234062553458315,35.0
temporal_w30,MLP_tabular_cfg_03,30-60,20,8.448703384399414,12.420572211206027,0.0,59.10438507198378,2.955219253599189,15.0
temporal_w30,MLP_tabular_cfg_03,0-30,20,4.246184873580932,5.668731330488249,0.0,12.260950008750596,0.6130475004375298,0.0
temporal_w30,RandomForestRegressor,90+,39,16.854526595171567,19.84665292402485,-0.7517723120119213,165.46215345598043,4.242619319384113,0.0
temporal_w30,RandomForestRegressor,60-90,20,19.480671038742962,22.72785910722281,0.0,231.9088892026826,11.595444460134129,50.0
temporal_w30,RandomForestRegressor,30-60,20,12.365219116816869,16.91243169807424,0.0,174.6207957600269,8.731039788001345,20.0
temporal_w30,RandomForestRegressor,0-30,20,3.6836192718895644,4.18318131673826,0.0,8.942006839810082,0.4471003419905041,0.0
temporal_w30,LGBMRegressor,90+,39,17.46316457426085,20.406577467217335,-0.8520105332478065,176.17262417121773,4.517246773620967,0.0
temporal_w30,LGBMRegressor,60-90,20,16.484271561530896,19.676366368027704,0.0,170.0492826504895,8.502464132524475,40.0
temporal_w30,LGBMRegressor,30-60,20,8.545873709455318,11.063004659484264,0.0,39.38801405214513,1.9694007026072566,15.0
temporal_w30,LGBMRegressor,0-30,20,4.325693817922822,5.371489992133556,0.0,11.705092295435913,0.5852546147717956,0.0
