representation,model_name,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,candidate_label,model_type,feature_set,window_size,rul_cap,sample_weight_scheme,n_features,params,selection_note,random_state
temporal_w50_condition_normalized,hgb_search_03_absolute_error_w50,258,12.69422901422661,16.18708206763948,0.8532774118039211,1137.5722039244129,4.409194588854313,10.077519379844961,hgb_search_03_absolute_error_w50,hist_gradient_boosting,condition_normalized,50,125,bin_weights,364,"{""early_stopping"":true,""l2_regularization"":0.1,""learning_rate"":0.06,""loss"":""absolute_error"",""max_features"":1.0,""max_iter"":250,""max_leaf_nodes"":15,""min_samples_leaf"":40,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42
temporal_w70_condition_normalized,hgb_search_10_quantile_w70,258,12.595866670269903,16.1523882696352,0.8539056792982049,1204.9418554355075,4.670317269129874,8.13953488372093,hgb_search_10_quantile_w70,hist_gradient_boosting,condition_normalized,70,125,soft,364,"{""early_stopping"":true,""l2_regularization"":0.1,""learning_rate"":0.06,""loss"":""quantile"",""max_features"":0.8,""max_iter"":350,""max_leaf_nodes"":15,""min_samples_leaf"":10,""n_iter_no_change"":15,""quantile"":0.45,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42
temporal_w70_condition_normalized,hgb_search_09_squared_error_w70,258,12.821111318890843,16.231861747702087,0.8524645069994685,1214.8062737068233,4.708551448476059,10.465116279069768,hgb_search_09_squared_error_w70,hist_gradient_boosting,condition_normalized,70,125,bin_weights,364,"{""early_stopping"":true,""l2_regularization"":0.1,""learning_rate"":0.06,""loss"":""squared_error"",""max_features"":1.0,""max_iter"":250,""max_leaf_nodes"":63,""min_samples_leaf"":40,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42
temporal_w50_condition_normalized,hgb_search_04_quantile_w50,258,12.887731791610598,16.61161886785983,0.8454803347277386,1267.5902241973708,4.913140403865778,11.627906976744185,hgb_search_04_quantile_w50,hist_gradient_boosting,condition_normalized,50,125,none,364,"{""early_stopping"":true,""l2_regularization"":0.0,""learning_rate"":0.08,""loss"":""quantile"",""max_features"":0.8,""max_iter"":250,""max_leaf_nodes"":15,""min_samples_leaf"":10,""n_iter_no_change"":15,""quantile"":0.45,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42
temporal_w50_condition_normalized,hgb_search_07_squared_error_w50,258,13.712904601064842,17.16278326964851,0.8350564722719098,1276.1193558661987,4.946199053744956,13.178294573643413,hgb_search_07_squared_error_w50,hist_gradient_boosting,condition_normalized,50,125,none,364,"{""early_stopping"":true,""l2_regularization"":0.0,""learning_rate"":0.08,""loss"":""squared_error"",""max_features"":1.0,""max_iter"":250,""max_leaf_nodes"":15,""min_samples_leaf"":20,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42
temporal_w70_condition_normalized,hgb_search_02_squared_error_w70,258,13.245916112505668,16.72377892477681,0.8433866865416803,1295.2286624036874,5.020266133347626,11.24031007751938,hgb_search_02_squared_error_w70,hist_gradient_boosting,condition_normalized,70,125,soft,364,"{""early_stopping"":true,""l2_regularization"":1.0,""learning_rate"":0.08,""loss"":""squared_error"",""max_features"":1.0,""max_iter"":350,""max_leaf_nodes"":15,""min_samples_leaf"":40,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42
temporal_w50_condition_normalized,hgb_search_00_squared_error_w50,258,13.822208833048908,17.328882635138065,0.8318484159345735,1332.2155446343563,5.163626141993629,14.34108527131783,hgb_search_00_squared_error_w50,hist_gradient_boosting,condition_normalized,50,125,none,364,"{""early_stopping"":true,""l2_regularization"":1.0,""learning_rate"":0.08,""loss"":""squared_error"",""max_features"":0.8,""max_iter"":350,""max_leaf_nodes"":15,""min_samples_leaf"":10,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42
temporal_w70_condition_normalized,hgb_search_05_absolute_error_w70,258,13.465571706492668,16.968416973862496,0.8387712459620529,1452.6321097439322,5.6303570145113655,13.178294573643413,hgb_search_05_absolute_error_w70,hist_gradient_boosting,condition_normalized,70,125,none,364,"{""early_stopping"":true,""l2_regularization"":0.1,""learning_rate"":0.06,""loss"":""absolute_error"",""max_features"":1.0,""max_iter"":250,""max_leaf_nodes"":15,""min_samples_leaf"":10,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42
temporal_w30_condition_normalized,hgb_search_06_squared_error_w30,258,14.76352284921508,18.720988081067606,0.803746515790885,1927.6587560674461,7.471545566152892,13.565891472868216,hgb_search_06_squared_error_w30,hist_gradient_boosting,condition_normalized,30,125,bin_weights,364,"{""early_stopping"":true,""l2_regularization"":0.0,""learning_rate"":0.06,""loss"":""squared_error"",""max_features"":0.8,""max_iter"":350,""max_leaf_nodes"":31,""min_samples_leaf"":20,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42
temporal_w30_condition_normalized,hgb_search_01_squared_error_w30,258,14.92677094804105,18.842941877326336,0.8011812865120654,2004.7634639288963,7.770401022980218,13.953488372093023,hgb_search_01_squared_error_w30,hist_gradient_boosting,condition_normalized,30,125,soft,364,"{""early_stopping"":true,""l2_regularization"":0.0,""learning_rate"":0.06,""loss"":""squared_error"",""max_features"":1.0,""max_iter"":250,""max_leaf_nodes"":63,""min_samples_leaf"":40,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42
