representation,model_name,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,candidate_label,model_type,feature_set,window_size,rul_cap,sample_weight_scheme,n_features,params,selection_note,random_state
temporal_w70_condition_normalized,lgbm_search_09_quantile_w70,258,12.727134525926974,16.402383658979375,0.8493483910513151,1093.5167480355954,4.238437007889904,8.914728682170542,lgbm_search_09_quantile_w70,lightgbm,condition_normalized,70,125,none,364,"{""alpha"":0.35,""colsample_bytree"":0.9,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1000,""num_leaves"":15,""objective"":""quantile"",""reg_alpha"":0.1,""reg_lambda"":10.0,""subsample"":1.0}",FD002 condition-normalized LightGBM hyperparameter search.,42
temporal_w50_condition_normalized,xgb_search_03_squarederror_w50,258,12.874614308970843,16.557884445021546,0.846478382659638,1097.5885889760154,4.254219337116339,10.465116279069768,xgb_search_03_squarederror_w50,xgboost,condition_normalized,50,125,bin_weights,364,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.9}",FD002 condition-normalized XGBoost hyperparameter search.,42
temporal_w50_condition_normalized,xgb_search_01_squarederror_w50,258,13.357582905495814,16.727559683621326,0.8433158671290457,1132.1196761327885,4.388060760204607,12.015503875968992,xgb_search_01_squarederror_w50,xgboost,condition_normalized,50,125,bin_weights,364,"{""colsample_bytree"":0.9,""learning_rate"":0.05,""max_depth"":4,""n_estimators"":900,""objective"":""reg:squarederror"",""reg_alpha"":0.1,""reg_lambda"":10.0,""subsample"":0.9}",FD002 condition-normalized XGBoost hyperparameter search.,42
temporal_w50_condition_normalized,lgbm_search_03_quantile_w50,258,12.892988258477097,16.575748519419907,0.8461469392270546,1178.5123119813873,4.567877178222432,10.852713178294573,lgbm_search_03_quantile_w50,lightgbm,condition_normalized,50,125,soft,364,"{""alpha"":0.45,""colsample_bytree"":0.8,""learning_rate"":0.05,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1000,""num_leaves"":15,""objective"":""quantile"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.9}",FD002 condition-normalized LightGBM hyperparameter search.,42
temporal_w50_condition_normalized,lgbm_search_05_regression_w50,258,13.422692695587713,16.899832535899517,0.8400719490666453,1180.53105885382,4.575701778503178,10.852713178294573,lgbm_search_05_regression_w50,lightgbm,condition_normalized,50,125,bin_weights,364,"{""colsample_bytree"":1.0,""learning_rate"":0.05,""max_depth"":-1,""min_child_samples"":20,""n_estimators"":1000,""num_leaves"":15,""objective"":""regression"",""reg_alpha"":1.0,""reg_lambda"":10.0,""subsample"":0.8}",FD002 condition-normalized LightGBM hyperparameter search.,42
temporal_w70_condition_normalized,lgbm_search_01_regression_w70,258,13.353500866841046,16.701816201217333,0.8437977654417973,1194.0658832803397,4.6281623382958905,11.627906976744185,lgbm_search_01_regression_w70,lightgbm,condition_normalized,70,125,none,364,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1300,""num_leaves"":31,""objective"":""regression"",""reg_alpha"":0.5,""reg_lambda"":10.0,""subsample"":0.9}",FD002 condition-normalized LightGBM hyperparameter search.,42
temporal_w70_condition_normalized,lgbm_search_06_regression_w70,258,12.90093943355208,16.30946840666328,0.8510503613870396,1200.0975114743464,4.6515407421486294,11.24031007751938,lgbm_search_06_regression_w70,lightgbm,condition_normalized,70,125,soft,364,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":40,""n_estimators"":1000,""num_leaves"":47,""objective"":""regression"",""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":1.0}",FD002 condition-normalized LightGBM hyperparameter search.,42
temporal_w50_condition_normalized,lgbm_search_04_regression_w50,258,13.799748616170058,17.318902634168037,0.8320420429293264,1267.6874891352213,4.91351739974892,12.015503875968992,lgbm_search_04_regression_w50,lightgbm,condition_normalized,50,125,soft,364,"{""colsample_bytree"":0.9,""learning_rate"":0.05,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1300,""num_leaves"":15,""objective"":""regression"",""reg_alpha"":1.0,""reg_lambda"":5.0,""subsample"":1.0}",FD002 condition-normalized LightGBM hyperparameter search.,42
temporal_w50_condition_normalized,xgb_search_00_squarederror_w50,258,13.577121808547382,17.184041552662375,0.8346476122741894,1304.97819479493,5.058055018585,12.4031007751938,xgb_search_00_squarederror_w50,xgboost,condition_normalized,50,125,none,364,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":4,""n_estimators"":900,""objective"":""reg:squarederror"",""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.8}",FD002 condition-normalized XGBoost hyperparameter search.,42
temporal_w50_condition_normalized,xgb_search_02_squarederror_w50,258,13.720911323562149,17.30544082987717,0.8323030454261096,1352.8298625641467,5.24352659908584,14.728682170542637,xgb_search_02_squarederror_w50,xgboost,condition_normalized,50,125,none,364,"{""colsample_bytree"":0.9,""learning_rate"":0.05,""max_depth"":2,""n_estimators"":900,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":10.0,""subsample"":0.8}",FD002 condition-normalized XGBoost hyperparameter search.,42
