config_index,hyperparameter_search_label,model_name,approach,window_size,rul_cap,objective,alpha,sample_weight_scheme,feature_set,num_leaves,min_child_samples,reg_lambda,reg_alpha,subsample,colsample_bytree,learning_rate,n_estimators,max_depth,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,mean_cmapss_score,std_cmapss_score,mean_dangerous_error_pct,std_dangerous_error_pct,mean_conservative_error_pct,std_conservative_error_pct,mean_bias_mean,std_bias_mean,mean_abs_error_p90,std_abs_error_p90,mean_abs_error_p95,std_abs_error_p95,worst_rmse,worst_cmapss_score,worst_dangerous_error_pct
20,search_20,fd003_lgbm_refinement_search_20,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,31,10,5.0,1.0,0.8,1.0,0.03,1300,-1,12.160812439289078,0.6028524015593758,16.25989226059689,1.2229450862521583,0.8524552377369948,0.022371464352131592,400.78713118808963,44.36910809647311,5.4,3.0495901363953815,13.4,4.929503017546495,-3.126701861011191,2.9483381584458646,27.725004189896246,2.3447434951194914,33.796874784346265,2.567581913339798,17.9287357226046,439.7389808743628,9.0
23,search_23,fd003_lgbm_refinement_search_23,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,31,40,20.0,0.0,0.8,0.8,0.03,1300,-1,11.918654695418008,0.580467461963147,16.10766171775888,1.4357829345687074,0.8549411421544922,0.026253726263748296,404.0258227226428,63.44377074613222,5.0,3.391164991562634,13.0,5.612486080160911,-3.098279508026617,3.007389976513109,25.711336439206956,3.7114337561113118,33.27949675431059,3.269128000812961,18.108375966181548,485.3456164073486,9.0
0,baseline_current,fd003_lgbm_refinement_baseline_current,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,15,10,10.0,0.5,0.9,0.8,0.03,1300,-1,12.16236471834893,0.5789525555186039,16.367036905847883,1.118125622413591,0.8506221883314528,0.02063806295746567,404.18233837036934,38.602982008255225,5.0,2.6457513110645907,13.6,5.128352561983234,-3.6510998591119352,2.8634124982893634,28.109533893860867,2.1941661871595746,34.68962473131354,3.7829876436809267,17.89616814863213,443.16186218294564,8.0
6,search_06,fd003_lgbm_refinement_search_06,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,31,20,5.0,0.0,0.8,0.7,0.03,1300,-1,11.990432495882017,0.8051918591027671,16.186518378990776,1.5200141407045877,0.8534157046534668,0.02806726364266635,404.4755186176889,53.93138844703673,5.0,2.23606797749979,13.6,5.941380311005179,-3.2327365979101876,3.00734494397026,26.77137278424549,3.5221972507477046,35.19254085947143,3.4137274581698636,18.459452977596037,458.1665908270138,8.0
3,search_03,fd003_lgbm_refinement_search_03,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,31,10,10.0,0.5,1.0,1.0,0.03,1300,-1,12.187909158520126,0.5668183367300471,16.378421214602632,1.41725560399464,0.8500780154218951,0.026209159256809438,404.59391151422443,50.271822033721975,5.6,2.9664793948382653,12.8,5.449770637375485,-3.1641474596226518,3.1494104401224576,28.253127703912178,4.155579312093974,35.02331308762795,3.126555057140689,18.3531427472456,452.7503156159652,9.0
7,search_07,fd003_lgbm_refinement_search_07,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,15,10,5.0,1.0,0.9,0.7,0.03,1300,-1,12.07880162466185,0.6450911165196286,16.32752722835466,1.4048912347698694,0.8510182661678393,0.025877956461569325,405.70647501863743,51.28672767805115,5.4,3.286335345030997,12.8,5.761944116355173,-3.7075355468090505,2.9071697778256564,28.231795900803483,3.93941100667483,34.19987655075148,3.551232839487644,18.23307273491024,462.63649700497115,10.0
19,search_19,fd003_lgbm_refinement_search_19,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,31,10,10.0,0.0,1.0,0.8,0.03,1300,-1,12.080748172570711,0.6471451756747619,16.23688013532341,1.4189762975948474,0.852640515824795,0.025949096956445365,406.6375483796478,56.896485880584144,5.8,2.774887385102322,13.2,5.585696017507576,-3.1929371734991627,3.0344076861301774,27.452465714984356,3.4256568860982894,34.13496425329621,2.5416439361620617,18.18821696092585,459.1451616421618,9.0
13,search_13,fd003_lgbm_refinement_search_13,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,15,20,5.0,0.5,0.8,0.7,0.03,1300,-1,12.027392623798498,0.6666390501977085,16.34504423999861,1.3072046590193769,0.8508180564311326,0.023936169984656995,408.77227263905786,69.56589186117861,4.8,2.683281572999748,13.2,4.969909455915671,-3.6617999544522197,2.7059992050254085,28.673419757572113,3.4804667901452886,34.44855832956445,2.0217878256610233,17.832806973010257,519.9542351543212,7.000000000000001
1,search_01,fd003_lgbm_refinement_search_01,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,15,10,5.0,0.5,1.0,0.8,0.03,1300,-1,12.130654505009906,0.5123608031165846,16.338323624835674,1.1702735641782465,0.8510908605322915,0.021454657407410455,412.3017039005143,51.04369246052142,5.2,3.271085446759225,13.8,5.263078946776306,-3.4815910762035096,2.7320691419882315,26.898510686348555,3.518304690749446,34.909982989460886,3.346004648056712,17.656769787790154,481.9559883901856,10.0
14,search_14,fd003_lgbm_refinement_search_14,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,15,10,5.0,0.5,0.8,0.8,0.03,1300,-1,12.130654505009906,0.5123608031165846,16.338323624835674,1.1702735641782465,0.8510908605322915,0.021454657407410455,412.3017039005143,51.04369246052142,5.2,3.271085446759225,13.8,5.263078946776306,-3.4815910762035096,2.7320691419882315,26.898510686348555,3.518304690749446,34.909982989460886,3.346004648056712,17.656769787790154,481.9559883901856,10.0
11,search_11,fd003_lgbm_refinement_search_11,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,15,40,10.0,1.0,0.9,0.8,0.03,1300,-1,12.117367833924835,0.5547678746147017,16.403030385569107,1.2698362683765265,0.8498058926951717,0.0234070845001695,412.46456553259713,47.49775812798343,5.6,2.6076809620810595,13.0,5.477225575051661,-3.5566175584533513,2.849023365873622,27.033512493092132,4.433955167219912,34.91742347511515,4.859916256272249,17.961255759268305,484.2915533800149,9.0
21,search_21,fd003_lgbm_refinement_search_21,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,31,40,5.0,0.0,0.9,0.7,0.03,1300,-1,12.028335708993676,0.7610939488891687,16.23350019501361,1.5827090137750977,0.8524830539781473,0.029136341652086672,414.25949676258887,67.56940531277439,5.4,2.9664793948382653,13.2,5.449770637375485,-3.2529369732889393,2.9776693052455747,26.753416629946326,3.1143054589332526,34.243940062974715,4.401620100590433,18.45287667123042,495.55299107754774,8.0
17,search_17,fd003_lgbm_refinement_search_17,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,15,40,20.0,0.0,0.8,0.8,0.03,1300,-1,12.111051154417574,0.46506024054176265,16.45717655167925,1.2617326729355824,0.8488265358202757,0.023371778477879582,420.40954943827927,59.750435710456664,5.6,3.286335345030997,13.8,4.919349550499537,-3.571135346525827,2.7885482238188115,27.56698681666756,3.747601454380182,34.37636220391746,3.961919363183827,18.030736413806284,501.6862611386048,10.0
9,search_09,fd003_lgbm_refinement_search_09,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,15,40,20.0,0.5,0.9,0.8,0.03,1300,-1,12.149074532267965,0.566529728951633,16.484002662850052,1.2000322349027408,0.8484031079551709,0.022104817333419874,422.29066936625395,53.18818553201571,6.0,3.1622776601683795,13.4,5.594640292279746,-3.550969330319971,2.7980076287672393,27.540934504717722,3.6520244565339697,34.529576281200185,3.429157538581659,17.88671534202163,484.7234464038219,10.0
