representation,model_name,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,candidate_label,model_type,feature_set,window_size,rul_cap,sample_weight_scheme,n_features,params,selection_note,random_state,eval_random_state
temporal_w70_condition_fault_sensitive,fd004_xgb_fs_bin_weights_w70,249,12.388741631105722,16.620485177332604,0.8459092312426147,1106.8325115472503,4.445110488141568,6.024096385542169,fd004_xgb_fs_bin_weights_w70,xgboost,condition_fault_sensitive,70,125,bin_weights,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Wider temporal context for FD004 XGBoost fault-sensitive model.,0,0
temporal_w50_condition_fault_sensitive_mid_guard,fd002_xgb_condition_fault_sensitive_mid_guard,249,12.990244350280149,17.378348607941238,0.8315363380294503,1360.7004802896408,5.464660563412212,6.827309236947792,fd002_xgb_condition_fault_sensitive_mid_guard,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD002 final XGBoost recipe transferred with FD004 fault-sensitive sensors.,0,0
temporal_w50_condition_fault_sensitive_mid_guard,fd004_xgb_fs_mid_guard_depth3,249,12.990244350280149,17.378348607941238,0.8315363380294503,1360.7004802896408,5.464660563412212,6.827309236947792,fd004_xgb_fs_mid_guard_depth3,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD002 final XGBoost settings over FD004 fault-sensitive features.,0,0
temporal_w50_condition_fault_sensitive,fd004_xgb_fs_bin_weights_depth3,249,12.777048695039557,17.309174641952662,0.8328747974067922,1636.492008000716,6.572257060243839,8.032128514056225,fd004_xgb_fs_bin_weights_depth3,xgboost,condition_fault_sensitive,50,125,bin_weights,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD004 XGBoost fault-sensitive model with standard near-failure weights.,0,0
temporal_w70_condition_fault_sensitive,fd004_xgb_fs_bin_weights_w70,249,13.061359411262604,17.46386936929317,0.8298742019406838,1509.3795271043082,6.061765169093607,6.827309236947792,fd004_xgb_fs_bin_weights_w70,xgboost,condition_fault_sensitive,70,125,bin_weights,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Wider temporal context for FD004 XGBoost fault-sensitive model.,1,1
temporal_w50_condition_fault_sensitive,fd004_xgb_fs_bin_weights_depth3,249,13.226063475551376,18.248953314941634,0.8142344629425633,1707.0936334837816,6.855797724834464,8.835341365461847,fd004_xgb_fs_bin_weights_depth3,xgboost,condition_fault_sensitive,50,125,bin_weights,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD004 XGBoost fault-sensitive model with standard near-failure weights.,1,1
temporal_w50_condition_fault_sensitive_mid_guard,fd002_xgb_condition_fault_sensitive_mid_guard,249,13.211738697496283,18.250006037053616,0.8142130299183541,1903.668550539014,7.645255223048249,6.425702811244979,fd002_xgb_condition_fault_sensitive_mid_guard,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD002 final XGBoost recipe transferred with FD004 fault-sensitive sensors.,1,1
temporal_w50_condition_fault_sensitive_mid_guard,fd004_xgb_fs_mid_guard_depth3,249,13.211738697496283,18.250006037053616,0.8142130299183541,1903.668550539014,7.645255223048249,6.425702811244979,fd004_xgb_fs_mid_guard_depth3,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD002 final XGBoost settings over FD004 fault-sensitive features.,1,1
temporal_w70_condition_fault_sensitive,fd004_xgb_fs_bin_weights_w70,249,12.822013914345737,16.88324362863695,0.840998580295116,1084.972259611994,4.357318311694756,7.228915662650602,fd004_xgb_fs_bin_weights_w70,xgboost,condition_fault_sensitive,70,125,bin_weights,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Wider temporal context for FD004 XGBoost fault-sensitive model.,2,2
temporal_w50_condition_fault_sensitive,fd004_xgb_fs_bin_weights_depth3,249,12.61328056059688,16.983263894883468,0.8391090770337907,1107.4329236448925,4.447521781706396,8.433734939759036,fd004_xgb_fs_bin_weights_depth3,xgboost,condition_fault_sensitive,50,125,bin_weights,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD004 XGBoost fault-sensitive model with standard near-failure weights.,2,2
