representation,model_name,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,candidate_label,model_type,feature_set,window_size,rul_cap,sample_weight_scheme,n_features,params,selection_note,random_state,experiment_stage
temporal_w70_condition_fault_sensitive,fd004_xgb_fs_bin_weights_w70,248,15.159437367993016,19.905749112434503,0.7780485055499735,1969.644663311268,7.942115577868016,12.096774193548388,fd004_xgb_fs_bin_weights_w70,xgboost,condition_fault_sensitive,70,125,bin_weights,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Wider temporal context for FD004 XGBoost fault-sensitive model.,42,hyperparam_search
temporal_w50_condition_fault_sensitive,fd004_xgb_fs_bin_weights_depth3,248,14.834342981538464,20.07923243099992,0.7741629274506887,2019.1086834279995,8.141567271887094,12.5,fd004_xgb_fs_bin_weights_depth3,xgboost,condition_fault_sensitive,50,125,bin_weights,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD004 XGBoost fault-sensitive model with standard near-failure weights.,42,hyperparam_search
temporal_w50_condition_fault_sensitive_mid_guard,fd002_xgb_condition_fault_sensitive_mid_guard,248,15.118620124555402,20.49185373809426,0.7647858110553686,2144.4950056663547,8.64715728091272,11.693548387096774,fd002_xgb_condition_fault_sensitive_mid_guard,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD002 final XGBoost recipe transferred with FD004 fault-sensitive sensors.,42,reference_transfer
temporal_w50_condition_fault_sensitive_mid_guard,fd004_xgb_fs_mid_guard_depth3,248,15.118620124555402,20.49185373809426,0.7647858110553686,2144.4950056663547,8.64715728091272,11.693548387096774,fd004_xgb_fs_mid_guard_depth3,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD002 final XGBoost settings over FD004 fault-sensitive features.,42,hyperparam_search
temporal_w50_condition_normalized,fd002_xgb_condition_normalized_weighted,248,14.946373745318382,20.26741113320984,0.7699100888394036,2247.7078518031835,9.06333811210961,11.693548387096774,fd002_xgb_condition_normalized_weighted,xgboost,condition_normalized,50,125,bin_weights,364,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD002 XGBoost condition-normalized recipe transferred to FD004.,42,reference_transfer
temporal_w50_condition_fault_sensitive_mid_guard,fd004_xgb_fs_mid_guard_depth2_reg10,248,15.27118520967422,20.566000752891377,0.7630805497260885,2270.1991248140985,9.154028729089108,9.67741935483871,fd004_xgb_fs_mid_guard_depth2_reg10,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,469,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""n_estimators"":900,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":10.0,""subsample"":0.9}",More regularized shallow XGBoost for FD004.,42,hyperparam_search
temporal_w50_condition_fault_sensitive,fd003_lgbm_reference_condition_fault_sensitive,248,15.536787410297968,20.710544479159324,0.7597385715579276,2303.905910066765,9.289943185753089,12.5,fd003_lgbm_reference_condition_fault_sensitive,lightgbm,condition_fault_sensitive,50,125,none,469,"{""alpha"":0.4,""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1300,""num_leaves"":15,""objective"":""quantile"",""reg_alpha"":0.5,""reg_lambda"":10.0,""subsample"":0.9}",FD003 final recipe plus FD002 condition control and FD004 fault-sensitive features.,42,reference_transfer
temporal_w50_condition_fault_sensitive,fd004_lgbm_fs_quantile_a04_leaves15,248,15.536787410297968,20.710544479159324,0.7597385715579276,2303.905910066765,9.289943185753089,12.5,fd004_lgbm_fs_quantile_a04_leaves15,lightgbm,condition_fault_sensitive,50,125,none,469,"{""alpha"":0.4,""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1300,""num_leaves"":15,""objective"":""quantile"",""reg_alpha"":0.5,""reg_lambda"":10.0,""subsample"":0.9}",FD003 final LightGBM shape over FD004 condition-fault-sensitive features.,42,hyperparam_search
temporal_w50_condition_normalized,fd003_lgbm_reference_condition_normalized,248,15.429718730743495,20.70798846129164,0.7597978722304809,2423.502913234716,9.772189166269015,11.693548387096774,fd003_lgbm_reference_condition_normalized,lightgbm,condition_normalized,50,125,none,364,"{""alpha"":0.4,""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1300,""num_leaves"":15,""objective"":""quantile"",""reg_alpha"":0.5,""reg_lambda"":10.0,""subsample"":0.9}",FD003 final recipe plus FD002-style condition normalization.,42,reference_transfer
temporal_w50_condition_fault_sensitive_weighted,fd004_lgbm_fs_quantile_a04_weighted,248,15.421631547590335,20.92814891159923,0.7546632232519955,2476.6709371775014,9.9865763595867,9.274193548387096,fd004_lgbm_fs_quantile_a04_weighted,lightgbm,condition_fault_sensitive,50,125,bin_weights,469,"{""alpha"":0.4,""colsample_bytree"":0.9,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":20,""n_estimators"":1100,""num_leaves"":31,""objective"":""quantile"",""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",FD004 fault-sensitive LightGBM with near-failure weights.,42,hyperparam_search
temporal_w50_condition_fault_sensitive,fd004_lgbm_fs_quantile_a035_w50,248,15.61303063548526,21.09833005800821,0.750656997002012,2800.241978431128,11.291298300125517,10.483870967741936,fd004_lgbm_fs_quantile_a035_w50,lightgbm,condition_fault_sensitive,50,125,none,469,"{""alpha"":0.35,""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1100,""num_leaves"":15,""objective"":""quantile"",""reg_alpha"":0.5,""reg_lambda"":10.0,""subsample"":0.9}",Slightly more conservative LightGBM quantile objective for FD004.,42,hyperparam_search
