representation,model_name,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,candidate_label,model_type,feature_set,window_size,rul_cap,sample_weight_scheme,n_features,params,selection_note,random_state,eval_random_state
temporal_w50_condition_normalized,lgbm_quantile_a04_condition_normalized_weighted,260,12.084407751791503,16.462507254079746,0.8494365860607621,1022.5682179761704,3.9329546845237324,6.153846153846154,lgbm_quantile_a04_condition_normalized_weighted,lightgbm,condition_normalized,50,125,bin_weights,364,"{""alpha"":0.4,""colsample_bytree"":0.9,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":20,""n_estimators"":1100,""num_leaves"":31,""objective"":""quantile"",""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",LightGBM quantile alpha=0.4 with FD002 condition-aware features and near-failure weights.,0,0
temporal_w50_condition_fault_sensitive_mid_guard,xgb_condition_fault_sensitive_mid_guard,260,12.427317685347337,16.792038755055927,0.8433485746937222,1039.959180361393,3.9998430013899733,5.384615384615385,xgb_condition_fault_sensitive_mid_guard,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,489,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Fault-sensitive XGBoost with extra weight on the 30-90 RUL band where validation errors were riskier.,0,0
temporal_w50_condition_normalized,xgb_squarederror_condition_normalized_weighted,260,12.568256268134483,16.793673779059034,0.8433180672236362,1103.145047027413,4.2428655654900505,6.153846153846154,xgb_squarederror_condition_normalized_weighted,xgboost,condition_normalized,50,125,bin_weights,364,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",XGBoost baseline with FD002 condition-aware features and near-failure weights.,0,0
temporal_w50_condition_fault_sensitive,xgb_condition_fault_sensitive_weighted,260,12.667823938223032,16.88028282002613,0.8416978066199614,1135.8965330505637,4.368832819425245,7.307692307692308,xgb_condition_fault_sensitive_weighted,xgboost,condition_fault_sensitive,50,125,bin_weights,489,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Current best FD002 XGBoost recipe plus condition-normalized fault-sensitive features.,0,0
temporal_w50_condition_fault_sensitive_mid_guard,xgb_condition_fault_sensitive_mid_guard,259,13.655455670301519,17.51579878833079,0.8288880080670032,1199.4730407918614,4.631170041667419,9.266409266409266,xgb_condition_fault_sensitive_mid_guard,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,489,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Fault-sensitive XGBoost with extra weight on the 30-90 RUL band where validation errors were riskier.,1,1
temporal_w50_condition_normalized,lgbm_quantile_a04_condition_normalized_weighted,259,13.271043222625295,17.536654617222368,0.8284802839249784,1221.8203434852353,4.7174530636495575,6.94980694980695,lgbm_quantile_a04_condition_normalized_weighted,lightgbm,condition_normalized,50,125,bin_weights,364,"{""alpha"":0.4,""colsample_bytree"":0.9,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":20,""n_estimators"":1100,""num_leaves"":31,""objective"":""quantile"",""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",LightGBM quantile alpha=0.4 with FD002 condition-aware features and near-failure weights.,1,1
temporal_w50_condition_fault_sensitive,xgb_condition_fault_sensitive_weighted,259,13.555942428618325,17.462807589186898,0.8299217849142205,1324.5994078265599,5.114283427901776,10.424710424710424,xgb_condition_fault_sensitive_weighted,xgboost,condition_fault_sensitive,50,125,bin_weights,489,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Current best FD002 XGBoost recipe plus condition-normalized fault-sensitive features.,1,1
temporal_w50_condition_normalized,xgb_squarederror_condition_normalized_weighted,259,13.70346364643583,17.56758949672451,0.8278746243235371,1328.5710312356896,5.129617881218879,10.038610038610038,xgb_squarederror_condition_normalized_weighted,xgboost,condition_normalized,50,125,bin_weights,364,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",XGBoost baseline with FD002 condition-aware features and near-failure weights.,1,1
temporal_w50_condition_normalized,xgb_squarederror_condition_normalized_weighted,259,13.668086228683649,18.187014556204495,0.8155225101873633,1346.8342707634629,5.2001323195500495,8.108108108108109,xgb_squarederror_condition_normalized_weighted,xgboost,condition_normalized,50,125,bin_weights,364,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",XGBoost baseline with FD002 condition-aware features and near-failure weights.,2,2
temporal_w50_condition_fault_sensitive,xgb_condition_fault_sensitive_weighted,259,13.642812607371209,18.24996792560856,0.8142431820993647,1385.4863791776588,5.3493682593732,8.494208494208493,xgb_condition_fault_sensitive_weighted,xgboost,condition_fault_sensitive,50,125,bin_weights,489,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Current best FD002 XGBoost recipe plus condition-normalized fault-sensitive features.,2,2
