n_predictions,n_units,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,conservative_error_pct,bias_mean,abs_error_p90,abs_error_p95,model_name,approach,window_size,rul_cap,objective,alpha,sample_weight_scheme,feature_set,random_state,n_features,dropped_columns,config_index,hyperparameter_search_label,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample
100,20,12.855085765266557,17.89616814863213,0.8220706475532693,420.62599199502387,4.206259919950239,1.0,22.0,-8.06769678031935,31.59326617568446,41.02860787293398,fd003_lgbm_refinement_baseline_current,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,0,193,"setting_3,sensor_1,sensor_18,sensor_19",0,baseline_current,0.8,0.03,-1,10,1300,15,0.5,10.0,0.9
100,20,11.606880430258222,15.402696002653403,0.8681983088054693,395.4428419045335,3.954428419045335,8.0,9.0,-1.173188950600293,27.01462970524022,31.65720240434445,fd003_lgbm_refinement_baseline_current,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,1,193,"setting_3,sensor_1,sensor_18,sensor_19",0,baseline_current,0.8,0.03,-1,10,1300,15,0.5,10.0,0.9
100,20,12.635213075618719,17.19797432257463,0.8356831551111464,443.16186218294564,4.431618621829457,4.0,14.000000000000002,-4.897016177581583,28.094243235212954,35.26433908951447,fd003_lgbm_refinement_baseline_current,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,2,193,"setting_3,sensor_1,sensor_18,sensor_19",0,baseline_current,0.8,0.03,-1,10,1300,15,0.5,10.0,0.9
100,20,12.124372258216395,15.484593885631801,0.8667929734428079,342.0790348992527,3.420790348992527,6.0,10.0,-1.5454760707869355,25.676735190395267,32.70870977593558,fd003_lgbm_refinement_baseline_current,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,3,193,"setting_3,sensor_1,sensor_18,sensor_19",0,baseline_current,0.8,0.03,-1,10,1300,15,0.5,10.0,0.9
100,20,11.590272062384765,15.853752169747452,0.8603658567445711,419.601960870091,4.19601960870091,6.0,13.0,-2.572121316271514,28.168795162771428,32.78926451383921,fd003_lgbm_refinement_baseline_current,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,4,193,"setting_3,sensor_1,sensor_18,sensor_19",0,baseline_current,0.8,0.03,-1,10,1300,15,0.5,10.0,0.9
100,20,12.504723216155085,17.656769787790154,0.8267991559227671,410.3437057740788,4.103437057740788,1.0,20.0,-7.456219851896734,31.912154605896443,40.246973926399036,fd003_lgbm_refinement_search_01,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,0,193,"setting_3,sensor_1,sensor_18,sensor_19",1,search_01,0.8,0.03,-1,10,1300,15,0.5,5.0,1.0
100,20,11.595112357038426,15.364638603711855,0.8688488225429597,393.8372488267549,3.938372488267549,10.0,7.000000000000001,-0.8587923174434289,25.366600078275056,32.496429580040726,fd003_lgbm_refinement_search_01,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,1,193,"setting_3,sensor_1,sensor_18,sensor_19",1,search_01,0.8,0.03,-1,10,1300,15,0.5,5.0,1.0
100,20,12.775595645434391,17.533889242011444,0.8292015155827085,481.9559883901856,4.8195598839018565,4.0,18.0,-4.94555509221559,28.92100966914137,36.10578368002155,fd003_lgbm_refinement_search_01,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,2,193,"setting_3,sensor_1,sensor_18,sensor_19",1,search_01,0.8,0.03,-1,10,1300,15,0.5,5.0,1.0
100,20,12.10164346880199,15.271413174699042,0.8704355220264604,342.8892574282815,3.428892574282815,6.0,11.0,-1.3413958640714996,22.964932010265002,32.321083681472295,fd003_lgbm_refinement_search_01,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,3,193,"setting_3,sensor_1,sensor_18,sensor_19",1,search_01,0.8,0.03,-1,10,1300,15,0.5,5.0,1.0
100,20,11.676197837619634,15.864907315965867,0.8601692865865627,432.482319083271,4.32482319083271,5.0,13.0,-2.805992255390295,25.32785706816491,33.37964407937082,fd003_lgbm_refinement_search_01,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,4,193,"setting_3,sensor_1,sensor_18,sensor_19",1,search_01,0.8,0.03,-1,10,1300,15,0.5,5.0,1.0
