dataset,candidate_name,rul_bin,n_eval_points,n_unique_units,MAE,RMSE,CMAPSS_total,CMAPSS_mean,CMAPSS_share,dangerous_any_pct,dangerous_10_pct,dangerous_20_pct,bias,source_bin_definition,conservative_pct
FD001,candidate_03_B_quantile_a040_search_14,0-30,497,100,3.4649071043931534,,,,,0.0,,,,FD001 robustness source bins; not exact v03 bins,
FD001,candidate_03_B_quantile_a040_search_14,30-60,497,100,8.468826083470706,,,,,3.9839034205231387,,,,FD001 robustness source bins; not exact v03 bins,
FD001,candidate_03_B_quantile_a040_search_14,60-90,497,100,14.293503849081679,,,,,20.945674044265594,,,,FD001 robustness source bins; not exact v03 bins,
FD001,candidate_03_B_quantile_a040_search_14,90+,497,100,16.083347163280433,,,,,0.0,,,,FD001 robustness source bins; not exact v03 bins,
FD002,eol_mean,0-50,104,52,6.7987316409746805,8.711149742654493,107.43758180224508,1.0330536711754337,0.1503663016494854,50.0,8.653846153846153,0.9615384615384616,-1.3226837026767235,v03 bins from FD002 multi-prefix v02,
FD002,eol_mean,75-100,52,52,8.895198112879042,11.555567972368658,79.76581484002982,1.5339579776928811,0.1116377563079355,30.76923076923077,7.6923076923076925,0.0,-5.22877993950477,v03 bins from FD002 multi-prefix v02,
FD002,eol_mean,100-125,52,52,12.870640974778397,15.988264411308968,147.90190668549965,2.8442674362596088,0.2069989136216873,11.538461538461538,0.0,0.0,-12.472891880915714,v03 bins from FD002 multi-prefix v02,
FD002,eol_mean,125+,50,50,22.86302947998047,25.053568535688143,379.4004112085164,7.588008224170328,0.5309970284208917,2.0,0.0,0.0,-22.84166412353516,v03 bins from FD002 multi-prefix v02,
FD003,fd003_offset_plus_0,0-25,100,100,3.2537932086770995,4.264005488491562,39.21124504535388,0.3921124504535387,0.0194027503544318,50.0,3.0,0.0,0.2538942661327178,FD003 offset calibration bins,50.0
FD003,fd003_offset_plus_0,50-75,100,100,8.094769038857756,11.183978481932492,274.9933272727508,2.749933272727508,0.1360738959458257,57.99999999999999,19.0,6.0,3.1036716113260097,FD003 offset calibration bins,42.0
FD003,fd003_offset_plus_0,75-100,100,100,13.682578418551373,16.685524977223487,542.0432844375824,5.420432844375824,0.2682172044543348,66.0,41.0,19.0,6.083655198282624,FD003 offset calibration bins,34.0
FD003,fd003_offset_plus_0,100-125,100,100,12.043987136931158,15.90708611634293,324.8525167226059,3.248525167226059,0.1607455278884204,50.0,18.0,0.0,-3.960024582573752,FD003 offset calibration bins,50.0
FD003,fd003_offset_plus_0,125+,100,100,23.73669578872728,25.87846701503801,839.8113183735537,8.398113183735537,0.4155606213569872,0.0,0.0,0.0,-23.73669578872728,FD003 offset calibration bins,100.0
FD004,eol_mean_guard_b60_only_if_lower_floor2,0-50,300,132,5.862810381253561,7.839153419837897,291.85099935674486,0.9728366645224829,0.1276019679582413,51.0,8.333333333333332,1.0,0.2500647967656453,v03 bins from FD004 late-stage guard v02,
FD004,eol_mean_guard_b60_only_if_lower_floor2,75-100,150,132,9.958567797342935,13.38897196400515,332.5140982093524,2.216760654729016,0.1453805311576457,25.333333333333336,5.333333333333334,0.0,-6.722902768452961,v03 bins from FD004 late-stage guard v02,
FD004,eol_mean_guard_b60_only_if_lower_floor2,100-125,150,132,13.725984128316243,17.067625271882154,482.498197690137,3.2166546512675804,0.2109560004840298,8.0,0.6666666666666667,0.0,-13.22943068186442,v03 bins from FD004 late-stage guard v02,
FD004,eol_mean_guard_b60_only_if_lower_floor2,125+,147,129,23.36386108398437,25.681487658182878,1180.3349668603437,8.029489570478528,0.516061500400083,0.0,0.0,0.0,-23.36386108398437,v03 bins from FD004 late-stage guard v02,
